date,stationId,code,value
2023-12-07 05:00:00.000000 UTC,k26,SO2,0.0419999999999999
2023-12-05 07:00:00.000000 UTC,k27,SO2,0.0
2022-05-26 08:00:00.000000 UTC,k27,SO2,0.8965
2022-12-19 15:00:00.000000 UTC,k27,SO2,0.0
2022-03-05 07:00:00.000000 UTC,k28,SO2,0.938
2022-04-10 02:00:00.000000 UTC,k28,SO2,7.0905
2024-02-04 07:00:00.000000 UTC,k28,SO2,0.8571666666666666
2024-03-24 11:00:00.000000 UTC,k28,SO2,0.6596666666666666
2022-03-22 06:00:00.000000 UTC,k28,SO2,0.485
2022-05-08 03:00:00.000000 UTC,k55,SO2,0.0
2023-07-08 07:00:00.000000 UTC,k55,SO2,0.0
2023-05-02 23:00:00.000000 UTC,k56,SO2,4.125114128973603
2024-05-03 07:00:00.000000 UTC,k56,SO2,3.539933007630641
2022-02-05 19:00:00.000000 UTC,k58,SO2,48.84433220176055
2023-07-09 01:00:00.000000 UTC,k59,SO2,44.986
2024-04-01 03:00:00.000000 UTC,k59,SO2,44.973000000000006
2022-10-06 05:00:00.000000 UTC,k59,SO2,187.102
2022-02-10 23:00:00.000000 UTC,k60,SO2,4.601
2024-02-03 15:00:00.000000 UTC,k97,SO2,81.631
2022-08-24 00:00:00.000000 UTC,k26,PM10,40.150000000000006
2023-06-12 03:00:00.000000 UTC,k56,PM10,27.109489562289568
2022-08-24 22:00:00.000000 UTC,k57,PM10,1.2775
2023-07-14 14:00:00.000000 UTC,k57,PM10,1.409333333333333
2022-07-04 03:00:00.000000 UTC,k57,PM10,1.7955
2023-04-08 12:00:00.000000 UTC,k58,PM10,26.90483396464647
2022-12-12 12:00:00.000000 UTC,k58,PM10,203.9206530723905
2023-12-08 22:00:00.000000 UTC,k60,PM10,1.538555555555556
2023-09-20 20:00:00.000000 UTC,k60,PM10,11.579444444444444
2023-09-26 16:00:00.000000 UTC,k60,PM10,13.303111111111107
2022-02-01 07:00:00.000000 UTC,k97,PM10,57.417333333333325
2024-03-11 23:00:00.000000 UTC,9,PM2.5,61.333333333333336
2020-12-14 19:00:00.000000 UTC,s3,PM2.5,88.0
2021-04-04 21:00:00.000000 UTC,s8,PM2.5,35.34
2021-05-13 07:00:00.000000 UTC,s8,PM2.5,6.32
2021-12-15 15:00:00.000000 UTC,k25,PM2.5,38.627666666666656
2022-10-04 05:00:00.000000 UTC,k25,PM2.5,0.7176666666666666
2022-08-14 13:00:00.000000 UTC,k25,PM2.5,2.975
2021-09-03 15:00:00.000000 UTC,k26,PM2.5,9.7945
2023-11-17 11:00:00.000000 UTC,k27,PM2.5,4.0763333333333325
2022-02-23 12:00:00.000000 UTC,k27,PM2.5,10.214333333333332
2022-02-28 07:00:00.000000 UTC,k28,PM2.5,73.70850000000002
2022-10-10 00:00:00.000000 UTC,k28,PM2.5,0.87
2023-03-01 00:00:00.000000 UTC,k28,PM2.5,0.5990555555555555
2020-07-20 04:00:00.000000 UTC,k56,PM2.5,39.0
2023-12-13 22:00:00.000000 UTC,k56,PM2.5,113.12414903198656
2021-04-07 00:00:00.000000 UTC,k57,PM2.5,46.1805
2020-11-30 19:00:00.000000 UTC,k57,PM2.5,1.0
2023-10-30 03:00:00.000000 UTC,k58,PM2.5,58.383773190235694
2023-07-09 18:00:00.000000 UTC,k58,PM2.5,23.32841750841751
2023-04-07 10:00:00.000000 UTC,k58,PM2.5,58.09136409932661
2023-04-19 09:00:00.000000 UTC,k58,PM2.5,31.747296422558925
2020-08-18 15:00:00.000000 UTC,k60,PM2.5,33.0
2021-05-07 20:00:00.000000 UTC,k97,PM2.5,26.402
2023-12-20 08:00:00.000000 UTC,27443,PM2.5,95.66666666666669
2023-02-05 01:00:00.000000 UTC,43241,PM2.5,53.66666666666666
2023-10-17 20:00:00.000000 UTC,30369354,PM2.5,138.66666666666666
